filename,label,split,baseline,improved,baseline_correct,improved_correct,review
captcha_0021.jpg,93762,development,93762,93762,True,True,否
captcha_0024.jpg,11453,development,,11453,False,True,否
captcha_0029.jpg,66179,development,499,66179,False,True,否
captcha_0032.jpg,88592,development,2592,88592,False,True,否
captcha_0038.jpg,12870,development,2870,12870,False,True,否
captcha_0042.jpg,62056,development,12056,62056,False,True,否
captcha_0043.jpg,74665,development,,74665,False,True,否
captcha_0058.jpg,27317,development,3,27317,False,True,否
captcha_0069.jpg,03439,development,,03439,False,True,否
captcha_0077.jpg,39975,development,,39975,False,True,否
captcha_0092.jpg,38293,development,,38293,False,True,否
captcha_0093.jpg,36628,development,55628,36628,False,True,否
captcha_0113.jpg,11030,development,1030,11030,False,True,否
captcha_0129.jpg,74885,development,,74885,False,True,否
captcha_0145.jpg,14051,development,13051,14051,False,True,否
captcha_0156.jpg,55130,development,,55130,False,True,否
captcha_0158.jpg,01493,development,01493,01493,True,True,否
captcha_0195.jpg,75588,development,3588,75588,False,True,否
captcha_0200.jpg,57347,development,,57347,False,True,否
captcha_0227.jpg,82825,development,1,82825,False,True,否
captcha_0229.jpg,12633,development,,12633,False,True,否
captcha_0239.jpg,17543,development,17543,17543,True,True,否
captcha_0241.jpg,64350,development,64350,64350,True,True,否
captcha_0247.jpg,99476,development,376,99476,False,True,否
captcha_0259.jpg,84418,development,,84418,False,True,否
captcha_0279.jpg,30086,development,70086,30086,False,True,否
captcha_0294.jpg,04358,development,58,04358,False,True,否
captcha_0300.jpg,99335,development,28335,99335,False,True,否
captcha_0304.jpg,37162,development,362,37162,False,True,否
captcha_0308.jpg,73955,development,,73955,False,True,否
captcha_0310.jpg,99128,development,,99128,False,True,否
captcha_0311.jpg,95818,development,95818,95818,True,True,否
captcha_0319.jpg,12769,development,2189,12769,False,True,否
captcha_0320.jpg,22941,development,22941,22941,True,True,否
captcha_0336.jpg,26974,development,,26974,False,True,否
captcha_0337.jpg,85129,development,,85129,False,True,否
captcha_0350.jpg,98122,development,48422,98122,False,True,否
captcha_0363.jpg,26972,development,,26972,False,True,否
captcha_0364.jpg,92663,development,92663,92663,True,True,否
captcha_0370.jpg,58931,development,58931,58931,True,True,否
captcha_0376.jpg,33376,holdout,,33376,False,True,否
captcha_0378.jpg,26298,holdout,25298,26298,False,True,否
captcha_0416.jpg,13072,holdout,13072,13072,True,True,否
captcha_0422.jpg,42632,holdout,,42632,False,True,否
captcha_0430.jpg,11262,holdout,2262,11262,False,True,否
captcha_0443.jpg,95824,holdout,95824,95824,True,True,否
captcha_0457.jpg,78639,holdout,2338,78639,False,True,否
captcha_0468.jpg,10829,holdout,829,10829,False,True,是
captcha_0472.jpg,13866,holdout,3856,13866,False,True,是
captcha_0492.jpg,62733,holdout,2733,62733,False,True,否
captcha_0495.jpg,10853,holdout,10853,10853,True,True,否
captcha_0496.jpg,33809,holdout,,33809,False,True,否
captcha_0497.jpg,48278,holdout,278,48278,False,True,否
captcha_0519.jpg,99516,holdout,16,99516,False,True,否
captcha_0520.jpg,20092,holdout,20092,20092,True,True,否
captcha_0522.jpg,99756,holdout,99756,99756,True,True,否
captcha_0523.jpg,59058,holdout,59058,59058,True,True,否
captcha_0534.jpg,30275,holdout,5,30275,False,True,否
captcha_0537.jpg,12084,holdout,12084,12084,True,True,否
captcha_0540.jpg,49981,holdout,,49981,False,True,否
captcha_0544.jpg,88777,holdout,,88777,False,True,否
captcha_0565.jpg,97830,holdout,7830,97830,False,True,否
captcha_0576.jpg,55442,holdout,,55442,False,True,否
captcha_0580.jpg,44611,holdout,44611,44611,True,True,否
captcha_0584.jpg,03693,holdout,03693,03693,True,True,否
captcha_0588.jpg,23958,holdout,23958,23958,True,True,否
captcha_0601.jpg,90807,holdout,8,90807,False,True,否
captcha_0603.jpg,20851,holdout,20851,20851,True,True,否
captcha_0613.jpg,86342,holdout,9342,86342,False,True,否
captcha_0622.jpg,33496,holdout,33496,33496,True,True,否
captcha_0630.jpg,67002,holdout,7002,67002,False,True,是
captcha_0665.jpg,32385,holdout,,32385,False,True,否
captcha_0669.jpg,36403,holdout,,36403,False,True,否
captcha_0688.jpg,81266,holdout,1266,81266,False,True,否
captcha_0690.jpg,67622,holdout,7622,67622,False,True,否
captcha_0691.jpg,63721,holdout,33721,63721,False,True,否
captcha_0699.jpg,78562,holdout,8562,78562,False,True,否
captcha_0700.jpg,94549,holdout,,94549,False,True,否
captcha_0702.jpg,78260,holdout,9250,78260,False,True,否
captcha_0703.jpg,86526,holdout,526,86526,False,True,否
captcha_0707.jpg,42133,holdout,42133,42133,True,True,否
captcha_0710.jpg,19243,holdout,9243,19243,False,True,否
captcha_0718.jpg,33568,holdout,3568,33568,False,True,否
captcha_0720.jpg,02083,holdout,12083,02083,False,True,是
captcha_0722.jpg,95157,holdout,,95157,False,True,否
captcha_0739.jpg,50553,holdout,853,50553,False,True,否
captcha_0740.jpg,67497,holdout,67497,67497,True,True,否
captcha_0753.jpg,38247,holdout,2,38247,False,True,否
captcha_0774.jpg,72533,holdout,,72533,False,True,否
captcha_0784.jpg,62334,holdout,62334,62334,True,True,否
captcha_0786.jpg,43010,holdout,3010,43010,False,True,否
captcha_0796.jpg,58871,holdout,5871,58871,False,True,否
captcha_0805.jpg,10132,holdout,,10132,False,True,否
captcha_0817.jpg,18280,holdout,18280,18280,True,True,是
captcha_0818.jpg,32101,holdout,32101,32101,True,True,否
captcha_0819.jpg,42002,holdout,42002,42002,True,True,否
captcha_0821.jpg,06163,holdout,9463,06163,False,True,是
captcha_0823.jpg,52166,holdout,,52166,False,True,否
captcha_0831.jpg,23616,holdout,,23616,False,True,否
captcha_0844.jpg,31156,holdout,31156,31156,True,True,否
captcha_0845.jpg,22734,holdout_extra,22734,22734,True,True,否
captcha_0848.jpg,56412,holdout_extra,56412,56412,True,True,否
captcha_0852.jpg,21971,holdout_extra,,21971,False,True,否
captcha_0865.jpg,64764,holdout_extra,764,64764,False,True,否
captcha_0873.jpg,42144,holdout_extra,,42144,False,True,否
captcha_0888.jpg,11186,holdout_extra,11186,11186,True,True,否
captcha_0893.jpg,08783,holdout_extra,13783,08783,False,True,否
captcha_0905.jpg,24435,holdout_extra,24435,24435,True,True,否
captcha_0912.jpg,95750,holdout_extra,45750,95750,False,True,是
captcha_0920.jpg,00198,holdout_extra,,00198,False,True,否
captcha_0927.jpg,08879,holdout_extra,06879,08879,False,True,否
captcha_0933.jpg,40310,holdout_extra,,40310,False,True,否
captcha_0955.jpg,24418,holdout_extra,,24418,False,True,否
captcha_0964.jpg,86537,holdout_extra,,86537,False,True,是
captcha_0965.jpg,26669,holdout_extra,26663,26669,False,True,否
captcha_0966.jpg,30607,holdout_extra,30607,30607,True,True,否
captcha_0970.jpg,53125,holdout_extra,53425,53125,False,True,否
captcha_0976.jpg,20985,holdout_extra,20985,20985,True,True,否
captcha_0984.jpg,71318,holdout_extra,1348,71318,False,True,否
captcha_0991.jpg,87911,holdout_extra,87911,87911,True,True,否
